date,min,max,pressure
2021-02-11,16.78,27.0,
2021-02-14,20.0,24.28,1014.9
2021-02-15,15.61,26.0,1015.1
2021-02-16,13.78,27.39,1013.7
2021-02-17,16.0,28.22,1012.5
2021-02-18,18.78,33.0,1012.9
2021-02-19,20.72,32.89,1014.6
2021-02-20,21.61,28.0,1016.9
2021-02-22,22.89,28.28,
2021-02-23,20.61,29.39,1017.4
2021-02-24,19.78,28.22,1016.2
2021-02-25,19.5,28.11,1012.9
2021-02-26,22.39,32.22,1012.0
2021-02-27,20.0,24.22,1013.8
2021-02-28,17.5,24.39,1015.0
2021-03-01,16.78,26.0,1014.8
2021-03-02,16.61,26.78,1015.0
2021-03-03,20.11,33.22,1015.6
2021-03-04,23.61,33.11,1014.2
2021-03-05,22.5,33.61,1013.9
2021-03-06,22.5,38.39,1013.3
2021-03-07,21.0,26.0,1015.0
2021-03-08,19.0,25.0,1014.0
2021-03-09,18.28,24.89,1013.8
2021-03-10,17.89,30.28,1014.0
2021-03-11,21.0,30.61,1013.5
2021-03-12,18.72,30.72,1011.8
2021-03-13,21.28,38.0,1009.1
2021-03-14,22.0,31.39,1011.2
2021-03-15,20.28,26.22,1013.5
2021-03-16,20.0,27.5,1013.5
2021-03-17,18.0,32.0,1013.0
2021-03-18,22.22,34.0,1011.1
2021-03-19,23.5,36.0,1010.0
2021-03-20,24.0,38.72,1009.4
2021-03-21,22.5,33.11,1009.7
2021-03-22,21.28,30.28,1008.6
2021-03-23,20.0,30.28,1010.8
2021-03-24,20.28,30.5,1011.2
2021-03-25,20.61,33.89,1011.0
2021-03-26,24.0,38.11,1011.5
2021-03-27,26.5,36.22,1012.2
2021-03-28,26.0,38.22,1011.6
2021-03-29,24.0,32.89,1011.1
2021-03-30,21.0,29.22,1011.6
2021-03-31,21.0,30.22,1010.6
2021-04-01,20.5,32.0,1011.2
2021-04-02,20.72,32.22,1010.9
2021-04-03,21.89,34.89,1009.3
2021-04-04,23.0,38.0,1008.1
2021-04-05,22.22,30.39,1010.8
2021-04-06,21.39,29.39,1012.1
2021-04-07,19.89,30.28,1012.2
2021-04-08,19.28,30.0,1012.4
2021-04-09,17.78,33.61,1009.9
2021-04-10,22.0,34.0,1007.9
2021-04-11,23.78,38.39,1008.9
2021-04-12,26.61,38.28,1010.3
2021-04-13,27.61,37.72,1010.8
2021-04-14,27.78,39.78,1010.1
2021-04-15,28.0,39.0,1008.9
2021-04-16,27.0,35.61,1009.1
2021-04-17,24.0,31.0,1010.1
2021-04-18,22.0,31.0,1011.9
2021-04-19,22.0,32.5,1012.6
2021-04-20,22.22,32.39,1010.7
2021-04-21,22.61,32.11,1009.3
2021-04-22,24.0,37.72,1010.3
2021-04-23,26.5,38.72,1010.5
2021-04-24,25.89,39.0,1009.3
2021-04-25,26.61,40.0,1008.3
2021-04-26,25.28,39.61,1009.0
2021-04-27,27.5,38.28,1008.1
2021-04-28,28.39,41.22,1007.6
2021-04-29,24.5,41.22,1008.4
2021-04-30,30.0,38.5,1008.6
2021-05-01,29.0,36.0,1008.1
2021-05-02,27.72,34.28,1006.7
2021-05-03,26.0,33.39,1005.7
2021-05-04,26.78,37.11,1005.5
2021-05-05,28.39,38.0,1004.4
2021-05-06,27.72,36.0,1006.7
2021-05-07,27.0,33.28,1008.0
2021-05-08,27.22,35.0,1008.5
2021-05-09,28.0,39.11,1007.5
2021-05-10,27.61,38.0,1006.7
2021-05-11,24.78,34.5,1005.8
2021-05-12,24.39,34.0,1005.9
2021-05-13,26.0,38.5,1003.9
2021-05-14,26.72,37.39,1002.7
2021-05-15,25.61,39.0,1001.1
2021-05-17,28.39,41.11,1002.7
2021-05-18,26.78,38.0,1003.4
2021-05-19,28.89,42.72,1003.1
2021-05-20,28.0,42.0,1003.3
2021-05-21,29.0,39.0,1003.7
2021-05-22,29.28,39.78,1003.3
2021-05-23,30.0,41.89,1002.3
2021-05-24,30.89,45.39,1001.8
2021-05-25,30.89,44.0,1004.4
2021-05-26,30.39,44.28,1003.9
2021-05-27,31.78,44.0,1003.0
2021-05-28,30.0,36.28,1003.2
2021-05-29,27.39,37.39,1002.6
2021-05-30,29.28,40.0,1002.9
2021-05-31,28.72,44.0,1003.4
2021-06-01,30.5,44.0,1001.9
2021-06-02,29.28,42.22,999.9
2021-06-03,28.0,38.22,1000.7
2021-06-04,29.78,45.22,1001.5
2021-06-05,29.89,43.72,1001.5
2021-06-06,30.0,40.0,999.6
2021-06-07,30.0,46.0,998.6
2021-06-08,31.89,43.0,1000.2
2021-06-09,32.0,39.0,1000.3
2021-06-10,30.72,38.22,998.9
2021-06-11,30.0,40.0,997.0
2021-06-12,29.28,41.0,997.0
2021-06-13,30.0,38.0,998.0
2021-06-14,29.39,40.0,998.6
2021-06-15,29.0,38.28,997.7
2021-06-16,28.78,41.0,996.4
2021-06-17,30.28,41.0,996.7
2021-06-18,29.5,37.89,997.3
2021-06-19,29.0,39.89,997.7
2021-06-20,30.72,39.39,998.5
2021-06-21,31.5,42.0,999.2
2021-06-22,32.89,44.22,1000.2
2021-06-23,32.72,45.22,1000.5
2021-06-24,34.0,45.11,1000.9
2021-06-25,33.72,45.0,1000.8
2021-06-26,31.89,44.0,999.5
2021-06-27,31.0,43.0,998.8
2021-06-28,33.78,43.0,1001.8
2021-06-29,33.61,42.0,1003.7
2021-06-30,33.72,42.0,1002.6
2021-07-01,33.0,41.61,1002.3
2021-07-02,31.61,41.0,999.5
2021-07-03,31.78,39.78,996.9
2021-07-04,32.39,39.39,995.9
2021-07-05,31.61,43.61,997.5
2021-07-06,33.39,44.61,998.3
2021-07-07,33.89,43.78,999.1
2021-07-08,34.0,42.28,1000.2
2021-07-09,34.78,41.78,1000.1
2021-07-10,33.61,42.61,996.1
2021-07-11,32.39,44.22,995.2
2021-07-12,36.0,44.61,996.3
2021-07-13,34.72,43.72,994.7
2021-07-14,33.5,44.89,994.3
2021-07-15,35.0,42.78,996.3
2021-07-16,34.5,42.89,996.7
2021-07-17,33.0,40.28,998.3
2021-07-18,32.5,39.0,999.2
2021-07-19,31.72,37.22,1000.5
2021-07-20,32.0,39.5,998.6
2021-07-21,33.0,41.0,998.2
2021-07-22,35.0,42.28,998.5
2021-07-23,32.89,41.0,996.0
2021-07-24,35.0,43.0,993.8
2021-07-25,35.5,44.28,996.5
2021-07-26,35.0,43.0,997.4
2021-07-27,33.78,42.39,996.7
2021-07-28,33.89,41.0,994.0
2021-07-29,32.89,43.5,992.2
2021-07-30,33.61,43.22,993.4
2021-07-31,34.5,45.0,995.3
